Seed,Nest,Ini,Species,Speciesd,Day,Mon,Status
19,9WH05,20,KH,KH,64,22,1
20,9WH05,20,KH,KH,64,22,1
1,1WH01,10,KH,KH,5,2,1
2,1WH01,10,KH,KH,5,2,1
3,1WH01,10,KH,KH,7,3,1
4,1WH01,10,KH,KH,7,3,1
5,1WH01,10,KH,KH,7,3,1
6,1WH01,10,KH,KH,7,3,1
7,1WH01,10,KH,KH,10,4,1
8,1WH01,10,KH,KH,10,4,1
9,1WH01,10,KH,KH,22,8,1
10,1WH01,10,KH,KH,22,8,1
1,2WH02/GH01,20,KH,KH,22,8,1
2,2WH02/GH01,20,KH,KH,28,10,1
3,2WH02/GH01,20,KH,KH,28,10,1
4,2WH02/GH01,20,KH,KH,28,10,1
5,2WH02/GH01,20,KH,KH,28,10,1
6,2WH02/GH01,20,KH,KH,34,12,1
7,2WH02/GH01,20,KH,KH,34,12,1
8,2WH02/GH01,20,KH,KH,34,12,1
9,2WH02/GH01,20,KH,KH,49,17,1
10,2WH02/GH01,20,KH,KH,49,17,1
11,2WH02/GH01,20,KH,KH,49,17,1
12,2WH02/GH01,20,KH,KH,49,17,1
13,2WH02/GH01,20,KH,KH,49,17,1
14,2WH02/GH01,20,KH,KH,49,17,1
15,2WH02/GH01,20,KH,KH,49,17,1
16,2WH02/GH01,20,KH,KH,49,17,1
17,2WH02/GH01,20,KH,KH,49,17,1
18,2WH02/GH01,20,KH,KH,49,17,1
19,2WH02/GH01,20,KH,KH,49,17,1
20,2WH02/GH01,20,KH,KH,49,17,1
1,15WH07,20,KH,KH,49,17,1
2,15WH07,20,KH,KH,49,17,1
3,15WH07,20,KH,KH,49,17,1
4,15WH07,20,KH,KH,49,17,1
5,15WH07,20,KH,KH,49,17,1
6,15WH07,20,KH,KH,49,17,1
7,15WH07,20,KH,KH,49,17,1
8,15WH07,20,KH,KH,49,17,1
9,15WH07,20,KH,KH,49,17,1
10,15WH07,20,KH,KH,49,17,1
11,15WH07,20,KH,KH,49,17,1
12,15WH07,20,KH,KH,49,17,1
13,15WH07,20,KH,KH,49,17,1
14,15WH07,20,KH,KH,49,17,1
15,15WH07,20,KH,KH,49,17,1
16,15WH07,20,KH,KH,49,17,1
